[Header],,,,,,
Investigator Name,Steven Gruber,,,,,
Project Name,MouseMethylationILSBeta,,,,,
Experiment Name,MouseMethylationILSBeta,,,,,
Date,9/21/2020,,,,,
,,,,,,
[Data],,,,,,
Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
20393_204617710014_R05C02_Mouse_VanAndel,C08,WG0007029-BCD,11 Exp Meth,MouseMethylation,204617710014,R05C02
20987_204617710018_R01C02_75%Human25%Mouse_VanAndel,C09,WG0007029-BCD,13 Human Mix,MouseMethylation,204617710018,R01C02
20275_204617710021_R03C01_Mouse_VanAndel,C10,WG0007029-BCD,18 T/N Meth,MouseMethylation,204617710021,R03C01
20993_204617710021_R05C02_Mouse_VanAndel,C11,WG0007029-BCD,21 Tissue Meth,MouseMethylation,204617710021,R05C02
20385_R3_204617710004_R01C02_Mouse_VanAndel,C12,WG0007029-BCD,4 Replicates,MouseMethylation,204617710004,R01C02
20010_R2_204617710015_R04C01_0%MethylMouse_VanAndel,D01,WG0007029-BCD,10 Meth Titrat,MouseMethylation,204617710015,R04C01
20278_204617710016_R04C01_Mouse_VanAndel,D01,WG0007030-BCD,18 T/N Meth,MouseMethylation,204617710016,R04C01
21021_500ng_204617710015_R06C02_Mouse_VanAndel,D02,WG0007029-BCD,6 Quantity,MouseMethylation,204617710015,R06C02
20384_R4_204617710016_R06C02_Mouse_VanAndel,D02,WG0007030-BCD,4 Replicates,MouseMethylation,204617710016,R06C02
20009_100ng_R3_204617710011_R02C02_Mouse_VanAndel,D03,WG0007029-BCD,15 Quantity,MouseMethylation,204617710011,R02C02
20009_500ng_R2_204617710019_R02C02_Mouse_VanAndel,D03,WG0007030-BCD,15 Quantity,MouseMethylation,204617710019,R02C02
20009_250ng_204617710012_R04C01_Mouse_VanAndel,D04,WG0007029-BCD,15 Quantity,MouseMethylation,204617710012,R04C01
20384_R2_204617710012_R06C02_Mouse_VanAndel,D05,WG0007029-BCD,4 Replicates,MouseMethylation,204617710012,R06C02
20253_204617710010_R02C02_Mouse_VanAndel,D06,WG0007029-BCD,21 Tissue Meth,MouseMethylation,204617710010,R02C02
